location,barcode,itemcode,scan_qty,scan_date,inspector,user_id
Reunion,672039194473,5205722041660,698,29-06-21,Tybie,1
United Kingdom,4172268503876,2079724890345,176,05-03-21,Glenda,1
Bhutan,22994063179,7514066522650,863,18-08-21,Kathy,1
Botswana,8444822912938,1036850061842,193,15-08-21,Bibby,1
Panama,9167803439891,7438961144406,131,05-11-21,Sybille,1
South Georgia and the South Sandwich Islands,9973968094500,2107454681902,714,12-05-21,Gloria,1
Australia,4137704718357,8440608662130,300,04-07-21,Sandie,1
Uzbekistan,3190191436690,8980534378050,971,26-08-21,Kylynn,1
Kiribati,6034555597924,159722446623,757,19-10-21,Carree,1
Isle of Man,8546586050589,219786988151,469,31-03-21,Sabina,1
Lithuania,6340777354099,5545707543758,664,23-01-21,Sarette,1
Niue,2006652487222,2249779270771,501,29-09-21,Brandise,1
Guinea-Bissau,1972797607057,8691677507700,639,11-09-21,Sheelagh,1
Japan,5013604965615,1253396063124,940,19-05-21,Diena,1
Falkland Islands (Malvinas),5314270864660,8513896580016,284,17-11-21,Jsandye,1
Suriname,2835458141201,47692736937,744,13-12-21,Chloris,1
New Caledonia,6361647264762,4136941918531,267,28-06-21,Antonietta,1
Luxembourg,6492233083661,272220552213,37,19-02-21,Sadie,1
Iceland,4200361343746,448571482221,649,19-01-21,Willetta,1
Singapore,9321430560179,5066413443948,409,29-06-21,Ulrike,1
Pitcairn,5371557531872,1002211749104,871,23-10-21,Elora,1
Åland Islands,3106794543158,8158733388493,705,21-05-21,Arlina,1
Qatar,1204229015508,2713568064690,733,09-02-21,Lynde,1
Fiji,7755893679271,661514537194,525,25-09-21,Ethel,1
Solomon Islands,4259638342054,6930170120445,158,14-06-21,Jere,1
Heard Island and Mcdonald Islands,4966558164680,3470384200143,901,23-06-21,Gui,1
Tajikistan,1972684363027,6964606492438,725,06-02-21,Corene,1
Maldives,2209877437831,2433630870961,191,04-01-21,Sandie,1
Central African Republic,1364628569706,8752626074770,702,17-08-21,Almeta,1
Canada,8181431433106,1544993957539,81,10-02-21,Diena,1
Egypt,6591386388461,1492750402848,566,15-12-21,Tarra,1
Antarctica,7068935377978,2721209489784,927,22-11-21,Cassondra,1
Sweden,6745937946714,9119736672454,280,29-12-21,Elka,1
French Polynesia,8683170373246,2143621034750,126,25-08-21,Bertine,1
France,5314571499794,8363297078274,576,13-03-21,Letizia,1
Sudan,6632843298626,4493750394854,12,29-07-21,Amara,1
Nauru,3404472816421,1959429822195,308,22-06-21,Ayn,1
Greenland,8428793872423,1107551541844,163,24-03-21,Frances,1
Guinea-Bissau,9268412312111,4095082159491,265,26-04-21,Annaliese,1
Slovakia,4832721033523,5200021491859,429,26-06-21,Jere,1
Argentina,9443186967282,2557248750850,236,28-03-21,Consuela,1
French Polynesia,1851974604450,4976791289901,258,06-02-21,Doralynne,1
Philippines,586162177006,9663209083251,333,10-04-21,Roslyn,1
Venezuela,6979504463426,7853450238413,13,25-02-21,Dacia,1
Bermuda,2583716399905,772298909810,946,11-05-21,Angela,1
Haiti,2283189374379,4167174501996,694,01-06-21,Anestassia,1
"Korea, Republic of",2322517976110,6179241981019,370,14-12-21,Marita,1
"Moldova, Republic of",1701431205815,2934666833669,204,06-01-21,Kayla,1
Gabon,3160150526847,9880440221964,522,20-06-21,Berget,1
Germany,2669366819954,9336481089736,179,23-11-21,Barbi,1
Monaco,8036272442409,4952321253937,726,06-07-21,Rubie,1
Ukraine,7636924999857,2626765294340,316,21-08-21,Amelia,1
French Polynesia,4040804410638,7145669007302,506,23-07-21,Kate,1
Germany,3443446761658,8372057503870,680,05-08-21,Julieta,1
Marshall Islands,1493768236820,7316804016217,153,08-03-21,Mignon,1
Lesotho,7637816210967,8972438161128,998,10-07-21,Meriel,1
Iceland,5237180930834,8858659331937,782,09-07-21,Tarra,1
Greece,9980716803976,2215605524623,323,01-08-21,Celene,1
Yemen,4812702842282,207563057268,654,25-08-21,Teriann,1
Costa Rica,3627205013046,5327428447016,356,09-12-21,Myrtice,1
Mauritania,1407048335234,6447345106980,932,06-12-21,Kaia,1
RWANDA,560115774361,131315823906,35,23-03-21,Kamilah,1
Sierra Leone,944164182776,4732474889820,945,07-11-21,Dania,1
Liberia,1922815441608,5267604841071,728,01-10-21,Sonni,1
Benin,3301158528442,7962637579017,546,28-12-21,Kellen,1
Gibraltar,6043888873434,8331918833488,34,03-05-21,Molli,1
Indonesia,9708594560450,4060929959024,379,07-08-21,Averyl,1
Burundi,1066253170131,575026501850,42,12-06-21,Thalia,1
Kenya,2215504670023,4854164361445,282,21-09-21,Lindie,1
Brazil,1476704611070,6965889590877,632,24-04-21,Allyce,1
Kiribati,22895465452,6895313005562,872,01-05-21,Christian,1
Hong Kong,8826850563624,9278145334382,681,16-07-21,Odessa,1
Thailand,2550766857198,5883521091501,263,18-11-21,Gerianna,1
Cocos (Keeling) Islands,3408797612804,9587885827026,604,15-03-21,Jemie,1
Mozambique,1328364491147,4201178354093,336,24-04-21,Priscilla,1
Montserrat,1573366783603,2152863172229,207,04-04-21,Mathilda,1
Saint Kitts and Nevis,1059767667343,5891806245088,909,31-07-21,Nollie,1
Saint Helena,1929100987077,9509835252589,421,26-07-21,Shandie,1
Indonesia,852242132998,5513796742677,760,28-12-21,Lelah,1
Liberia,2061510122336,4191796622037,910,04-02-21,Correy,1
India,9018352766196,4842103678336,118,12-06-21,Gwyneth,1
"Virgin Islands, British",8237870068403,3823732489932,899,14-12-21,Blondelle,1
Turkey,5228686141297,7778969609011,586,19-03-21,Valli,1
Iraq,8421918079338,1024286303750,319,26-10-21,Lucy,1
Belgium,6266754719462,6251285182827,368,16-05-21,Paola,1
Cameroon,2752822927510,1398659060520,891,19-04-21,Daune,1
Ghana,6097224123896,8953305702512,599,30-07-21,Cyb,1
Germany,343938916873,3009424287778,579,21-07-21,Carree,1
"Iran, Islamic Republic Of",3754240447307,7038107776475,666,02-03-21,Rhoda,1
Tunisia,2012520402897,5409496210847,885,29-11-21,Maye,1
Dominica,7027311801227,3045625395312,742,22-06-21,Ginnie,1
Malawi,8552598558585,3218781961927,898,24-01-21,Lorie,1
"Iran, Islamic Republic Of",9244564222163,3505779324655,594,02-04-21,Mara,1
Mexico,3449481218385,9748726140169,810,29-03-21,Deane,1
Israel,703085016842,1047740557848,624,10-05-21,Emelina,1
Solomon Islands,5558814974765,2592612641693,648,27-07-21,Gavrielle,1
"Virgin Islands, U.S.",3489121741747,635032285818,271,26-01-21,Chloris,1
Malawi,8480005596409,635932997169,307,28-03-21,Zaria,1
Botswana,7020138056594,139942979658,902,28-01-21,Roslyn,1
AndorrA,6851745374812,1001059653501,808,27-01-21,Frank,1
Chile,8991074690227,6338469091736,503,20-08-21,Ketti,1
Uganda,9004792435467,7894559805623,104,03-06-21,Phedra,1
Gabon,2388632398795,7084131059675,751,06-10-21,Consuela,1
Sao Tome and Principe,8500376131286,8170661699033,964,10-01-21,Max,1
Venezuela,7098132332698,5906400484246,661,09-10-21,Elyssa,1
New Caledonia,9612242626766,4914620109829,782,08-05-21,Allis,1
Malaysia,2707719715396,57531368998,839,19-07-21,Gianina,1
Maldives,1911290705637,5864458280643,544,18-01-21,Priscilla,1
Nigeria,619991395856,3887449258996,140,13-06-21,Juliane,1
Albania,9829325509993,1017056955578,95,12-09-21,Rozele,1
Israel,3020842216411,5729684458205,325,17-12-21,Melisent,1
Ethiopia,7328278553663,6078690776559,834,12-02-21,Cristine,1
Philippines,2011722279348,7806943958324,700,10-02-21,Emmey,1
Honduras,3862473155964,8935162886659,561,14-09-21,Charlena,1
Serbia and Montenegro,548174381039,6229776571109,465,26-02-21,Meriel,1
Uzbekistan,2644029209826,2278315485534,876,24-12-21,Nannie,1
France,5247105587568,6782545329835,747,17-01-21,Codie,1
"Lao People""S Democratic Republic",6320237702442,6024350254020,742,23-06-21,Cecile,1
Morocco,9728935869696,180892229447,671,14-06-21,Misha,1
Armenia,6294293555574,1799241916645,382,14-06-21,Ana,1
Pakistan,2747496000875,7203635367877,541,26-03-21,Jsandye,1
Luxembourg,7418606491463,5524019847390,690,03-03-21,Kerrin,1
Burundi,4361435626160,8677824237297,465,12-07-21,Lorenza,1
Indonesia,190126086393,3713013164897,312,25-02-21,Carlie,1
Afghanistan,2907730765241,6921862343517,757,03-01-21,Binny,1
Belgium,6916014925690,5971926746914,390,27-01-21,Marleah,1
Luxembourg,7398688881223,5969182999305,250,21-01-21,Fayre,1
Wallis and Futuna,9404646412079,9411965584455,863,15-12-21,Jessamyn,1
Cuba,88495155942,573578135019,1,13-10-21,Therine,1
Cape Verde,8571506967485,7329079255556,830,17-03-21,Kathy,1
Gambia,6057557716324,4192189732650,32,13-02-21,Elyssa,1
Ethiopia,423812970561,5304444754195,825,20-12-21,Shannah,1
Cyprus,6883718374133,6927567991960,72,01-03-21,Laure,1
Kenya,6083653340020,647901282626,652,07-09-21,Sean,1
Finland,1697412926778,4872760898736,22,06-09-21,Lolita,1
AndorrA,3831098568221,3775677717333,390,04-11-21,Dorothy,1
Romania,3665628514920,6805524000322,889,06-09-21,Violet,1
Marshall Islands,6907730368956,811670029126,206,24-10-21,Celene,1
Togo,617571156921,7861527377252,528,07-06-21,Kerrin,1
Singapore,2144486894335,910059137706,636,08-05-21,Maye,1
Norway,2825174155826,6941557329516,50,25-04-21,Aili,1
Turkmenistan,6787035594705,905244725397,895,17-04-21,Tatiania,1
Bolivia,9692679219665,5869421299535,1000,18-07-21,Corly,1
Serbia and Montenegro,1474663889365,1170871196955,730,27-03-21,Lilith,1
Philippines,1901831968987,3960311268230,127,07-02-21,Jolyn,1
Kazakhstan,9787512527600,3084735583908,279,09-11-21,Ardeen,1
"Moldova, Republic of",2489809008305,3795355306227,877,21-09-21,Catrina,1
Costa Rica,2634474432216,9900842353271,279,23-06-21,Josephine,1
Saudi Arabia,3843574644751,7238566964423,223,03-01-21,Mildrid,1
Zambia,6398804964061,5487494249863,594,31-07-21,Karena,1
Serbia and Montenegro,408836757398,3036255301840,311,26-03-21,Rhea,1
Turkmenistan,2204315456967,7305646433507,388,07-04-21,Clarice,1
Liberia,4659359132043,7821409990988,904,22-01-21,Perry,1
Thailand,382642906543,2047290636039,471,03-07-21,Daphne,1
Trinidad and Tobago,299247497020,2298270291640,471,26-12-21,Doralynne,1
San Marino,258263232882,1203234040218,496,26-02-21,Gabriellia,1
"Moldova, Republic of",2789861154439,4614098848947,4,23-06-21,Riannon,1
Afghanistan,510110722023,1100752437141,227,01-06-21,Ellette,1
Bosnia and Herzegovina,1716351312536,9160885651658,705,04-04-21,Edyth,1
Afghanistan,7340499972390,2209073912318,670,29-09-21,Annora,1
Maldives,8609729057242,9128095774205,948,29-09-21,Marita,1
Liechtenstein,759363261728,9295799108262,709,25-08-21,Corly,1
Panama,609394491449,3950781651659,654,04-01-21,Brana,1
Austria,5454108835726,2555774178095,984,19-10-21,Jorry,1
Equatorial Guinea,8605278503044,3611949802910,935,08-01-21,Belva,1
Jordan,9312514639527,3473325685047,729,31-12-21,Carmela,1
"Micronesia, Federated States of",3819982289781,3988704169819,606,03-06-21,Kelly,1
Russian Federation,688717762290,7701733602644,284,15-12-21,Vevay,1
Timor-Leste,2363221269012,1358731973769,893,22-07-21,Audrie,1
Burkina Faso,8700298772254,4455346505224,954,10-05-21,Lynde,1
Ireland,222113994014,7481951526482,825,26-02-21,Annecorinne,1
Western Sahara,9913428755981,6834952454762,740,15-10-21,Mary,1
Togo,4269716621773,3080476261585,845,18-05-21,Daphne,1
Marshall Islands,1509602395950,8550965615728,24,20-11-21,Sibella,1
Central African Republic,6261670439149,3877444188371,777,15-02-21,Ileana,1
Burkina Faso,8342809057304,674449060928,640,20-02-21,Nickie,1
Bahrain,6135090194005,6873248968902,904,30-05-21,Dulcinea,1
Djibouti,2081567382886,4185294360027,112,24-05-21,Damaris,1
Saint Vincent and the Grenadines,3071652069890,106533207266,810,26-11-21,Ira,1
Peru,5727308526649,1881089315315,544,01-02-21,Maud,1
Uganda,9674861108415,6702422733418,765,23-10-21,Basia,1
Norfolk Island,7982650711990,8213826064373,932,25-12-21,Bee,1
Liechtenstein,5417512558352,6009345758825,969,28-10-21,Bill,1
Viet Nam,4627356651073,7505182333739,863,17-09-21,Charmaine,1
Turkmenistan,7885072046451,4305838708369,528,09-05-21,Chickie,1
RWANDA,6226316228288,7314375172948,800,13-10-21,Janenna,1
Syrian Arab Republic,2283543680298,8186387075503,645,03-10-21,Barbi,1
Cameroon,6512277607251,4841231082787,26,02-11-21,Hannis,1
Burkina Faso,8396502899036,7956716088694,58,30-10-21,Danny,1
Ecuador,2726220885553,3865603687512,810,06-08-21,Priscilla,1
United Arab Emirates,971740368566,5583137748931,893,07-12-21,Candy,1
Niger,174026668863,2162439320859,215,25-05-21,Elyssa,1
Niger,5912278622234,7385327278847,782,22-06-21,Marnia,1
Israel,3272270988574,5806431430721,951,30-07-21,Corly,1
Vanuatu,1499354613338,7059196714271,475,14-07-21,Magdalena,1
Costa Rica,9058914823194,2427613655190,630,20-10-21,Judy,1
Gibraltar,4114269543938,9089870264211,318,14-04-21,Yvonne,1
Libyan Arab Jamahiriya,9980833342352,1290456485916,560,20-03-21,Alia,1
Mayotte,7918084072928,7875076045465,243,24-06-21,Karolina,1
Russian Federation,1013598807843,8491308086713,349,05-06-21,Karly,1
Botswana,1138037920797,7349455043927,959,17-04-21,Wendi,1
Reunion,8124211877361,256531787515,286,01-10-21,Fina,1
French Southern Territories,6868121472367,6928840048235,172,30-07-21,Glenda,1
Lithuania,388309797545,1054943312934,395,01-06-21,Jolyn,1
Saint Helena,5927435889689,8029961464033,396,17-06-21,Carly,1
Saint Kitts and Nevis,3924347684710,9398339185969,292,26-04-21,Jaclyn,1
Jersey,1971121110354,6919214683996,50,25-04-21,Dagmar,1
Kuwait,6690008215789,9423484981183,554,21-07-21,Madeleine,1
Guatemala,5413329147138,171534806850,971,08-08-21,Agnese,1
Puerto Rico,6520908845932,7599232039506,525,19-03-21,Augustine,1
Mauritania,9241402636586,4933242813209,259,21-03-21,Judy,1
Wallis and Futuna,9926194475529,8681535547881,689,28-11-21,Madeleine,1
Mozambique,481694796457,1468416104421,388,06-12-21,Alejandra,1
Somalia,8180976966430,8661016071536,168,22-06-21,Lexine,1
Djibouti,7224304733624,7288346572917,424,04-08-21,Deedee,1
Cuba,4951641592218,6910233443685,882,28-08-21,Cyb,1
Papua New Guinea,5788627356628,6311935819314,744,09-09-21,Genevra,1
"Korea, Republic of",9777181910128,6218730356608,402,07-09-21,Shaine,1
Monaco,2337365083556,8861425225730,109,04-01-21,Modestia,1
Malawi,5925120373289,1467660926426,761,15-01-21,Jsandye,1
Somalia,3830152015849,3895368353698,596,04-05-21,Nessie,1
"Lao People""S Democratic Republic",1765781972709,2166463602456,396,04-03-21,Bobbi,1
Singapore,1873754585571,9573973513125,490,03-08-21,Janis,1
British Indian Ocean Territory,8796250076968,2398626790750,709,27-12-21,Anica,1
Latvia,3164378304645,4923007869617,581,16-01-21,Blinni,1
Bahamas,1725746028365,6117603333122,499,29-09-21,Cassondra,1
Georgia,3825856764914,8006802791682,922,24-06-21,Betta,1
Anguilla,2405533494262,95280671332,848,30-11-21,Jeanna,1
Afghanistan,6318695275523,2666074353079,813,10-04-21,Vita,1
Greenland,9476447367745,8166362618139,881,23-10-21,Theodora,1
New Zealand,1348183887834,87144990375,818,01-05-21,Marnia,1
Guatemala,4415004820214,509494698004,441,21-03-21,Melanie,1
India,5916748157618,8109896420390,308,01-05-21,Shel,1
Luxembourg,4251838984699,3945469334469,514,03-08-21,Linet,1
Israel,3296459424934,143050141058,160,01-06-21,Gusella,1
Bahrain,1776024737914,9654774406367,843,19-07-21,Vivia,1
Angola,7567489639299,8555032152799,837,26-07-21,Randa,1
Russian Federation,1679377276673,8307252674074,458,30-08-21,Harrietta,1
Romania,658221140789,9859295269357,656,30-07-21,Annaliese,1
Qatar,6479533560036,5036611102161,734,03-06-21,Beverley,1
Latvia,9234864657687,5292911624971,839,27-07-21,Adore,1
Holy See (Vatican City State),2129779495363,2759132480420,972,26-02-21,Elena,1
San Marino,4478013314910,7973399722199,308,13-03-21,Neila,1
Haiti,8307259857645,1980817933867,486,17-06-21,Cathie,1
Fiji,7456255248248,9045221892447,446,02-06-21,Brana,1
Oman,4252562881489,4253779263867,430,25-05-21,Keelia,1
Pitcairn,7561729940290,6494142788295,606,10-05-21,Pollyanna,1
Nigeria,1568863411411,441117905073,833,14-04-21,Judy,1
Ireland,1552220257603,956191206578,944,15-10-21,Bernie,1
Brunei Darussalam,8138563298883,5298593591954,301,07-06-21,Iseabal,1
Cyprus,6250094346378,6114863190128,86,25-01-21,Tami,1
Sudan,4255419720723,2448719169986,873,13-06-21,Althea,1
Cambodia,9945035197516,2100583230642,855,07-01-21,Dennie,1
Bouvet Island,1113826638365,4259089749954,23,26-11-21,Ellette,1
United States Minor Outlying Islands,4329310235328,1667692319895,281,09-05-21,Tabbatha,1
Tajikistan,4276113903133,6867368383884,894,11-12-21,Shauna,1
Egypt,559683364672,4011008935915,81,15-09-21,Mady,1
Guinea-Bissau,2769142087250,413198562094,64,27-08-21,Lizzie,1
Nigeria,2606922868844,3608263389433,834,01-09-21,Brena,1
Gabon,2022641452055,8977810776262,510,30-05-21,Ninnetta,1
Bulgaria,3661970458222,8681307584393,559,06-08-21,Corly,1
Saint Vincent and the Grenadines,2499860937778,2080771668242,904,15-12-21,Madelle,1
Belgium,3933503402294,7681696072367,775,01-09-21,Arabel,1
Holy See (Vatican City State),5907730809283,4523823859814,308,03-01-21,Tomasina,1
Bolivia,6724750060358,6763754026295,198,17-08-21,Morganica,1
Hungary,168937833803,4676373134921,141,02-09-21,Therine,1
Burkina Faso,3464994842800,5677021657148,691,24-11-21,Shannah,1
Svalbard and Jan Mayen,3205508344259,9026560094815,906,22-06-21,Willetta,1
Chad,5370051978325,3446840037554,191,29-05-21,Jany,1
Western Sahara,525344053360,8789191324873,684,26-08-21,Ottilie,1
"Congo, The Democratic Republic of the",9880463104892,6109791200245,701,25-12-21,Agnese,1
Estonia,796057701619,6021915415946,946,19-01-21,Sonni,1
Myanmar,7450786150065,4130435338232,822,27-10-21,Maisey,1
Mauritius,4558679411089,1714219805270,418,31-10-21,Roxane,1
Serbia and Montenegro,8017325585327,9524683897183,911,18-08-21,Johna,1
Congo,8263303532768,5622022672877,252,17-02-21,Feliza,1
Bermuda,7810166573120,1424804898614,469,18-02-21,Aurore,1
"Palestinian Territory, Occupied",4683532514855,4871903340272,785,23-09-21,Tiffie,1
Belgium,6548540859190,9964629782877,701,12-09-21,Desirae,1
Ghana,2489236471198,8912096683795,577,26-09-21,Catharine,1
Turkey,9046020065616,6859012401365,390,04-09-21,Cristabel,1
French Guiana,6870611816763,9639455187851,853,29-03-21,Camile,1
Comoros,8233529914618,8675877150493,444,21-10-21,Vevay,1
Jamaica,1578472227803,9036901879445,241,04-03-21,Melina,1
Croatia,4212008849840,4222848706574,989,18-11-21,Perry,1
Belgium,4957816814894,4816459506029,592,07-11-21,Jackie,1
Sudan,5288667470137,1573930346957,22,03-07-21,Paola,1
Ecuador,9460332758297,1718586202222,649,07-05-21,Lexine,1
Mauritania,1036941130782,6653143321843,587,17-11-21,Myrtice,1
Saint Lucia,752578985962,81164631028,326,13-06-21,Marita,1
Singapore,1461111669631,7735089275126,201,06-12-21,Gratia,1
Turkey,1858960846824,9368964622663,198,05-07-21,Carmela,1
Monaco,7152118532981,7541340923718,334,04-11-21,Ardeen,1
Poland,8243713839181,9840206650470,108,03-07-21,Ursulina,1
Belgium,5527177494896,3776420336030,486,21-03-21,Lila,1
Cambodia,8983878840484,2955710346441,344,10-01-21,Renie,1
Montserrat,8279316938769,7837823038246,912,14-11-21,Tabbatha,1
Azerbaijan,1546976040946,4628069707081,685,16-12-21,Dorice,1
Cocos (Keeling) Islands,2318988769230,858142524554,317,08-11-21,Janey,1
Albania,8456566479395,5786365637498,141,07-04-21,Doro,1
Uruguay,6580875865545,7493777145018,184,04-06-21,Tori,1
Saint Lucia,1403461093844,7798738732773,174,06-08-21,Juliane,1
Tokelau,1354885734348,3463907984635,251,29-08-21,Rubie,1
India,3774748779513,2161402991982,470,18-10-21,Trixi,1
Japan,8709845866548,3518140277791,934,02-05-21,Leia,1
Spain,7903251692145,2147888140686,103,13-04-21,Ann-Marie,1
El Salvador,6929115449574,701578721615,149,24-05-21,Bernardine,1
Guernsey,9037603871454,5098437347633,783,10-06-21,Jobi,1
Thailand,4104741786069,2575536718097,623,29-09-21,Riannon,1
Turkmenistan,1621914992699,4958996464308,56,11-02-21,Raquela,1
British Indian Ocean Territory,3480575645795,1946128950604,717,24-02-21,Luci,1
Croatia,3859482776402,1319954965134,685,11-08-21,Yvonne,1
Samoa,1400429397880,5025488617806,416,18-01-21,Candi,1
Malaysia,6598922958328,2839183114085,296,16-09-21,Addia,1
Martinique,6359758996443,9707817782863,866,19-11-21,Maurene,1
Netherlands Antilles,6906561937750,7083607501497,443,22-04-21,Diena,1
Iraq,883389469024,7456217729926,938,20-01-21,Lynea,1
Uganda,8184462553649,316052680483,634,30-12-21,Ofilia,1
Norway,3358336630298,7740253472590,972,28-02-21,Raquela,1
Panama,4457063574227,6843828469990,371,31-07-21,Ottilie,1
Iceland,2335493535776,4809742162296,92,10-01-21,Micheline,1
Vanuatu,9480220246503,9766616814864,948,26-11-21,Harrietta,1
Tokelau,3384913857417,8406796923832,619,13-09-21,Elvira,1
Fiji,995801234920,5843012068266,105,30-06-21,Lizzie,1
El Salvador,7614801686344,2968275310359,375,31-08-21,Karolina,1
Jamaica,5916528793283,9865927814032,718,24-06-21,Veda,1
"Lao People""S Democratic Republic",6822950537038,5627367812031,961,03-10-21,Beatriz,1
Jamaica,5135897793280,4208644155404,683,04-12-21,Tori,1
Serbia and Montenegro,5314997590943,3296712739402,84,29-04-21,Almeta,1
Yemen,9303611551822,5457872860446,989,15-11-21,Kirstin,1
Venezuela,8262449605853,4043035819666,680,23-01-21,Dolli,1
Slovenia,6866317324435,1733276041671,499,23-12-21,Ileana,1
Martinique,3812875738247,4382318861183,713,11-10-21,Michaelina,1
Thailand,8297168596017,2162207378126,864,30-12-21,Tabbatha,1
Panama,3674710875249,5556487300678,480,24-01-21,Susette,1
Eritrea,3970811324400,1571477690247,456,27-07-21,Elyssa,1
Mozambique,9379035284730,7426876812062,844,14-12-21,Tobe,1
Falkland Islands (Malvinas),5686615972072,5498937760101,632,18-07-21,Valera,1
Liberia,1322102016715,2439717790100,34,16-05-21,Blake,1
"Virgin Islands, U.S.",8977342121475,6012848046413,931,24-07-21,Helena,1
Tonga,2902327457795,9177142710669,630,08-08-21,Magdalena,1
"Lao People""S Democratic Republic",4639615382971,6054743023986,637,10-03-21,Rosaline,1
Jordan,8900614740350,458039779546,70,10-08-21,Farrah,1
Palau,7522316636558,3619654418848,168,30-03-21,Anthia,1
Jersey,4317786375079,1686781873799,738,19-06-21,Adore,1
Italy,477384480924,7546910925426,579,25-06-21,Kittie,1
Afghanistan,4978985351617,8582487878283,930,15-04-21,Anallese,1
Ethiopia,6183282757679,8318520797007,305,31-10-21,Cecile,1
"Taiwan, Province of China",93474484225,6007094705664,237,13-06-21,Wynne,1
Canada,3134413669,3367734545511,902,07-12-21,Carly,1
Georgia,1095943221685,3571814388499,88,23-09-21,Winny,1
Slovakia,8898941764609,9342319683860,626,18-11-21,Anthia,1
"Micronesia, Federated States of",9053510727953,2401417850463,599,08-08-21,Nickie,1
French Guiana,2633457943287,3959609754757,36,01-04-21,Shandie,1
Saint Kitts and Nevis,6890211458666,1899403632251,708,30-07-21,Phylis,1
Philippines,6713951477228,4452430513479,556,11-11-21,Claresta,1
Paraguay,1028799238757,467598894529,171,02-06-21,Wendi,1
Latvia,1919222601740,3582272631241,733,06-08-21,Adriana,1
Svalbard and Jan Mayen,5022589644088,3214768226709,880,11-05-21,Melanie,1
Sao Tome and Principe,1596565755536,8470615406439,202,16-03-21,Beatriz,1
Vanuatu,8980483107178,3700384261013,860,15-10-21,Sadie,1
Kuwait,5753007978674,6543654572001,229,03-05-21,Linet,1
Bahamas,6681174272431,4524893505988,677,06-11-21,Marsiella,1
American Samoa,8913943904063,310659293232,708,01-11-21,Melanie,1
"Moldova, Republic of",9271339261696,8625804961504,251,04-10-21,Gwenneth,1
Czech Republic,3244122192064,1181424154987,757,25-10-21,Sophia,1
Wallis and Futuna,1501704779118,2234933247065,911,06-10-21,Ginnie,1
Ghana,6363028380373,514395210525,286,05-09-21,Madeleine,1
Algeria,9613738826441,1672210511080,688,15-08-21,Annabela,1
Panama,1323053586422,7169403020336,209,26-11-21,Nelle,1
New Zealand,2273105649501,3918153025001,287,29-01-21,Magdalena,1
Gabon,7264981470671,1229375559193,468,26-06-21,Valeda,1
Cayman Islands,6007088612416,1536865924289,739,04-11-21,Bernie,1
Guernsey,2044346601248,9014839601714,31,11-11-21,Corina,1
Cyprus,1883680360480,4388064721412,180,19-12-21,Susette,1
Gambia,6185285625696,5623340919303,564,21-01-21,Alie,1
Serbia and Montenegro,8305859663972,4592733877143,145,13-02-21,Sophia,1
Kazakhstan,1312281123957,4245661773813,885,09-03-21,Chandra,1
"Congo, The Democratic Republic of the",4919367495703,4356515587888,449,23-01-21,Carolina,1
Viet Nam,2318110324175,4459950560239,159,18-11-21,Lexine,1
Seychelles,475865088896,7805871999148,909,27-11-21,Ottilie,1
Zimbabwe,2373555481362,7386723156913,127,10-09-21,Bertine,1
Timor-Leste,7898042249462,4757858891463,521,05-12-21,Sheelagh,1
Nauru,7000054598452,8310191595199,641,17-05-21,Delilah,1
Eritrea,2573102286596,716245278500,700,24-07-21,Cyndie,1
Romania,8395932520989,4987429481547,283,22-01-21,Iseabal,1
Guernsey,396509854239,6885181551409,824,08-08-21,Iseabal,1
Western Sahara,9750976061647,9097666640745,253,02-12-21,Elena,1
Svalbard and Jan Mayen,8721409746075,39906521581,992,01-07-21,Brooks,1
Fiji,6032767822926,290841863258,925,19-12-21,Farrah,1
Falkland Islands (Malvinas),2022621012065,7512811100288,159,09-11-21,Hayley,1
Japan,4033561720257,7353105135730,554,24-05-21,Carlie,1
Saint Lucia,7848174034726,7399253506817,113,08-01-21,Candy,1
Antigua and Barbuda,7262779708506,8231574749386,862,12-06-21,Marsiella,1
Holy See (Vatican City State),2876652725219,1529121449024,705,14-08-21,Nataline,1
Algeria,9577866705766,4913255625700,967,16-02-21,Kimmy,1
Armenia,9398076932759,2046234380062,270,11-05-21,Eolanda,1
Saint Vincent and the Grenadines,1559928057493,3127617480232,600,03-05-21,Jan,1
United States,8240811963677,3195169498676,87,12-02-21,Aubrie,1
New Zealand,729531008397,5360447459723,728,17-08-21,Annabela,1
Seychelles,245472810529,1715950849236,127,02-07-21,Ilse,1
Lesotho,8767115044702,4184376048253,50,06-10-21,Atlanta,1
Oman,7645810818315,6840115496685,41,22-02-21,Max,1
Barbados,3622627576857,3551378338130,490,07-01-21,Jorry,1
Sudan,8793884174947,6271019681494,575,02-06-21,Selia,1
Luxembourg,7929216706245,617970543254,459,03-08-21,Britni,1
Romania,8859243072903,8881398129488,596,18-11-21,Amara,1
"Cote D""Ivoire",9576474458297,4419729396156,854,15-07-21,Roseline,1
Netherlands,9127033551908,9751892915025,769,14-07-21,Tierney,1
Cyprus,4591040023798,4192074713432,885,30-08-21,Dawn,1
Philippines,4359736598922,6307377185731,680,24-05-21,Donetta,1
"Korea, Republic of",2910383307387,8814285777864,372,07-11-21,Clo,1
Niue,9167128872203,6690201653020,256,08-05-21,Kirstin,1
Comoros,3297734949073,7535184203064,809,18-12-21,Sissy,1
"Palestinian Territory, Occupied",2322015355057,6497463201487,93,13-08-21,Leontine,1
Switzerland,8528927919862,4623224067312,901,08-01-21,Brooks,1
